line;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;AZUL;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;AZUL;VERDE;AZUL;VERDE;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;AZUL;VERDE;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;AZUL;ROJO;AZUL;VERDE
1;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;ROJO;ROJO;AZUL;AZUL;VERDE;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;ROJO;VERDE;AZUL;ROJO;ROJO;VERDE;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;AZUL;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;VERDE;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;VERDE;AZUL;VERDE;ROJO;ROJO;AZUL;VERDE;VERDE;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;VERDE;ROJO;AZUL;VERDE;AZUL;ROJO;AZUL;AZUL;VERDE;AZUL;VERDE;ROJO;ROJO;VERDE;AZUL;AZUL;ROJO;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;ROJO;AZUL;VERDE;VERDE;VERDE;ROJO
2;ROJO;AZUL;VERDE;ROJO;AZUL;VERDE;ROJO;ROJO;AZUL;AZUL;VERDE;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;ROJO;VERDE;AZUL;ROJO;ROJO;VERDE;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;AZUL;ROJO;VERDE;AZUL;VERDE;ROJO;AZUL;ROJO;VERDE;ROJO;VERDE;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;VERDE;AZUL;VERDE;ROJO;ROJO;AZUL;VERDE;VERDE;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;AZUL;VERDE;ROJO;VERDE;AZUL;ROJO;VERDE;VERDE;ROJO;AZUL;VERDE;AZUL;ROJO;AZUL;AZUL;VERDE;AZUL;VERDE;ROJO;ROJO;VERDE;AZUL;AZUL;ROJO;VERDE;ROJO;AZUL;VERDE;ROJO;AZUL;ROJO;AZUL;VERDE;VERDE;VERDE;ROJO
